,CONTENT,DATETIME,DOCID,TYPE
45,우리나라에만 사는 고유종인 '모데미풀'입니다. 소백산의 깃대종이죠. 지금은 멸종위기식물원에 피었지만 곧 정상 봉우리 능선을 따라 즐비하게 피어날 거에요~~~http://t.co/jolWg7xE,20120416132552,46,TWEET
46,속리산국립공원의 깃대종은? http://t.co/tTYXali1,20120418010209,47,TWEET
47,북한산 깃대종 ‘산개나리’ 복원 http://t.co/7nZUlF13,20120430080657,48,TWEET
48,치악산 깃대종 금강초롱이와 어린이 대면! http://t.co/I38Ez7Al,20120505215506,49,TWEET
49,"월출산국립공원 깃대종 ""끈끈이주걱"" 입니다. http://t.co/Deni97Vq",20120507143205,50,TWEET
50,경주국립공원의 깃대종 원앙입니다. 자연상태에서 찍었으면 더 좋왔을껄 하는 생각이 듭니다. 무럭무럭 잘 자라다오.^^ http://t.co/iJJ34IKb,20120517173438,51,TWEET
51,"태안해안국립공원 깃대종이며, 멸종위기 2급 표범장지뱀입니다. 사진을 보고 만약에 표범장지뱀을 마주치면, 예쁘다고 만지지 마세요.~~ 우리 체온에 표범장지뱀이 화상을 입을 수 있습니다.!!! http://t.co/AVltyRgC",20120524182429,52,TWEET
52,"태안해안국립공원 깃대종이며, 멸종위기 2급인 표범장지뱀의 서식현황 및 개체밀도를 파악해서 장지뱀의 보호 방안을 마련하고자, 서식현황 및 개체밀도를 조사하는 모습입니다. http://t.co/1LWJBNPQ",20120525083955,53,TWEET
53,@taeanhaean_knp 표범장지뱀 첨 들어봐요 ㅎㅎ 근데요 깃대종이 무슨 뜻인지? ㅎㅎ 정말 좋은일 하세요 ^^,20120525084308,54,REPLY
54,[多島海 자연경관 특집-'남해의 아름다움!'] 이런 모습을 바로 '열정'이라 하지요. 다도해해상국립공원 직원의 거문도 풍란(깃대종) 조사중-by최희원 http://t.co/TkReIdPt,20120527194645,55,TWEET
55,"이 친구의 이름을 뭘까요? 태안해안국립공원 깃대종이며, 멸종위기 2급 표범장지뱀입니다~ 혹시 마주치시면, 예쁘다고 무심코 만지진 마세요~ 우리 체온에 표범장지뱀은 화상을 입을 수 있답니다!!!!! http://t.co/cB262LB6",20120531131542,56,TWEET
56,한려해상국립공원 깃대종 &quot;팔색조&quot;가 돌아왔어요! http://t.co/PgBQrUgu,20120601112228,57,TWEET
57,"SBJ 한국방송 - 한려해상국립공원 깃대종 ""팔색조""가 돌아왔어요! http://t.co/DS56fHEq",20120601122529,58,TWEET
58,덕유산 깃대종 금강모치 잡아먹는 외래어종 잡아낸다 http://t.co/6HBSJZxJ,20120610150558,59,TWEET
59,덕유산 깃대종 금강모치 잡아먹는 외래어종 잡아낸다 http://t.co/RipVE67m,20120610155254,60,TWEET
60,속리산 국립공원의 깃대종 '하늘다람쥐'에요! 눈이 똘망똘망한게 참 귀엽네요. 몸을 쫙~ 펼쳐 20~30m(최고 100m)비행을 하는 녀석입니다. 서로를 포용하는 사회적 습성을 가진 동물로 성질이 온순하다고 해요^^ http://t.co/KCCBWfk6,20120613085713,61,TWEET
61,## 국립공원 깃대종 '동물편' ## http://t.co/5wZuxFE3 국립공원의 깃대종 중 동물친구들을 소개해드리고자 해요. 링크(국립공원 공식 블로그)에서 국립공원 깃대종을 만나보세요 ^^,20120613110339,62,TWEET
62,졸지마세요~!!! 나른한 오후 시작이지만 화이팅~!! ^0^ 주왕산 국립공원 깃대종 솔부엉이입니다! http://t.co/8LzdCWzP,20120613143024,63,TWEET
63,지리산 국립공원 깃대종 '히어리'에요! 히어리는 그 아름다움이 빼어나 관상적 가치가 아주 뛰어난 식물이랍니다. http://t.co/VnurlKbR,20120614103559,64,TWEET
64,국립공원 깃대종 '식물편 ' http://t.co/VbpN9Wdx,20120614223445,65,TWEET
65,한려해상공원 남해지역서 팔색조 둥지 첫 발견 http://t.co/1M4xrCho (남해=연합뉴스) 지성호 기자 = 경남 남해의 한려해상국립공원사무소는 남해군 지역에서 깃대종 팔색조(멸종위기 야생동물Ⅱ급ㆍ 천연기...,20120619164241,66,TWEET
66,한려해상공원 남해지역서 팔색조 둥지 첫 발견: (남해=연합뉴스) 지성호 기자 = 경남 남해의 한려해상국립공원사무소는 남해군 지역에서 깃대종 팔색조(멸종위기 야생동물Ⅱ급ㆍ 천연기념물 제204호) 둥지 1개를 발견했다고 19일 밝혔다. ...,20120619164328,67,TWEET
67,한려해상국립공원 깃대종 팔색조 남해지역 최초 둥지확인 http://t.co/z8WKvxPv,20120620151938,68,TWEET
68,"(생태계) 저어새는 다리가 4개?: 저어새는 다리가 4 개 ? ‘ 깃대종 ’ 이라는 말이 있다 . 유엔환경계획 (UNEP) 에서 만든 개념으로 , 그 지역을 대표하는 생물이다.. http://t.co/7KlNBOYB",20120703140803,69,TWEET
69,"계룡산 국립공원의 깃대종 '호반새'가 올해에도 공원내에 번식하고 있다는 반가운 소식입니다. 6~7월은 호반새의 산란기이기 때문에 탐방객분들의 주의가 필요합니다. 큰~소리로 소리를 치시거나, 라디오나 휴대폰 등으로 크게 음악 듣는 것을 자제해주세요~!!",20120703145710,70,TWEET
70,우리공원 깃대종인 거머리말(Zostera marina) 입니다. http://t.co/9g85PxfJ,20120703174300,71,TWEET
71,"치악산 깃대종 금강초롱꽃입니다. 꽃은 8~9월에 통꽃으로 피며 연한 자주색 또는 백색으로 은은한 빛을 내며, 꽃이 밑을 향해 달리며 꽃받침은 다섯개로 갈라집니다. 은은한 멋이 있는 금강초롱꽃 이쁘지 않나요?^^ http://t.co/Li1v1MgC",20120704101911,72,TWEET
72,치악산 깃대종 금강초롱꽃입니다. 은은한 멋이 있는 금강초롱꽃 이쁘지 않나요?^^ http://t.co/QRPBxTCl,20120704130057,73,TWEET
73,청초한 금강초롱^^ @bik0323: 치악산 깃대종 금강초롱꽃입니다. 은은한 멋이 있는 금강초롱꽃 이쁘지 않나요?^^ http://t.co/EwiDDEUF,20120704140304,74,REPLY
74,"6월, 무인센서카메라에 찍힌 가야산국립공원의 깃대종 '삵'의 모습입니다^^ 삵은 환경부지정 멸종위기동물 Ⅱ급 동물로 지정되어있습니다. 건강하게 잘 자라길 기원해주세요^^ http://t.co/icApGJTx",20120706171410,75,TWEET
75,오대산의 깃대종을 아시나요?^^ 바로 긴점박이올빼미와 노랑무늬붓꽃 입니다~^^ 정말 멋지고 아름답죠?^^ http://t.co/cYpBmkLr,20120712100227,76,TWEET
76,계룡산의 깃대종 호반새를 아시나요? http://t.co/bm97fVUO,20120713031742,77,TWEET
77,4년간의 4대강사업 어디에도 자연생태하천은 없었다.자생식물?자연천이? 너희가 그게 무슨뜻인지 알기나해? 4대강 전역의 깃대종이란 깃대종은 깡그리 말살시킨 주제에 마지막사업지 두물머리에는 생태주의의 깃발을 꽂겠다고? http://t.co/Nlp0DYj2,20120716115125,78,TWEET
78,@moe_daegu 달성습지. 깃대종은. 두루미가 될수. 있도록. 다. 함께. 노력합시다,20120717222802,79,REPLY
79,"우리사무소는 지난 17일 지역 학교(태안초등학교)와 함께하는 ‘내고장 국립공원 탐험대’를 운영했습니다. 태안해안국립공원 깃대종이며, 멸종위기 2급인 표범장지뱀에 대해 해설을 했습니다. ^^ http://t.co/jY0S0DYh",20120719111758,80,TWEET
80,대전 계룡산 국립공원의 깃대종 호반새! 호반새를 지키자!! http://t.co/pPxElhER,20120724000039,81,TWEET
81,전시용 판넬 만들기-계룡산 깃대종 http://t.co/HOvgxEWA,20120727224652,82,TWEET
